LOCATION,Country,VARIABLE,Variable,FREQUENCY,Frequency,TIME,Time,Value,Flag,Codes,Flags,,,,,
JPN,Japan,LOW_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,Low,W,Weekly,2022W25,26-Jun-22,1.302427618,
JPN,Japan,HIGH_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,High,W,Weekly,2022W25,26-Jun-22,3.723066908,
JPN,Japan,LOW_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,Low,W,Weekly,2022W25,26-Jun-22,3.467634415,
JPN,Japan,HIGH_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,High,W,Weekly,2022W25,26-Jun-22,5.075937689,
KOR,Korea,TRACKER_YOY,"Weekly tracker, year-on-year (YoY)",W,Weekly,2022W25,26-Jun-22,3.83689968,,,,,,,,
KOR,Korea,TRACKER_YO2Y,"Weekly tracker, year over 2 years (yo2y)",W,Weekly,2022W25,26-Jun-22,8.836654688,,,,,,,,
KOR,Korea,LOW_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,Low,W,Weekly,2022W25,26-Jun-22,1.930495874,
KOR,Korea,HIGH_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,High,W,Weekly,2022W25,26-Jun-22,5.29234712,
KOR,Korea,LOW_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,Low,W,Weekly,2022W25,26-Jun-22,7.448608589,
KOR,Korea,HIGH_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,High,W,Weekly,2022W25,26-Jun-22,10.10671422,
LUX,Luxembourg,TRACKER_YOY,"Weekly tracker, year-on-year (YoY)",W,Weekly,2022W25,26-Jun-22,3.268511669,,,,,,,,
LUX,Luxembourg,TRACKER_YO2Y,"Weekly tracker, year over 2 years (yo2y)",W,Weekly,2022W25,26-Jun-22,8.301414434,,,,,,,,
LUX,Luxembourg,LOW_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,Low,W,Weekly,2022W25,26-Jun-22,1.043141407,
LUX,Luxembourg,HIGH_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,High,W,Weekly,2022W25,26-Jun-22,6.891149825,
LUX,Luxembourg,LOW_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,Low,W,Weekly,2022W25,26-Jun-22,4.945444768,
LUX,Luxembourg,HIGH_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,High,W,Weekly,2022W25,26-Jun-22,13.62018773,
MEX,Mexico,TRACKER_YOY,"Weekly tracker, year-on-year (YoY)",W,Weekly,2022W25,26-Jun-22,0.80862328,,,,,,,,
MEX,Mexico,TRACKER_YO2Y,"Weekly tracker, year over 2 years (yo2y)",W,Weekly,2022W25,26-Jun-22,12.81164851,,,,,,,,
MEX,Mexico,LOW_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,Low,W,Weekly,2022W25,26-Jun-22,-0.638539378,
MEX,Mexico,HIGH_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,High,W,Weekly,2022W25,26-Jun-22,1.939536306,
MEX,Mexico,LOW_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,Low,W,Weekly,2022W25,26-Jun-22,10.81224535,
MEX,Mexico,HIGH_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,High,W,Weekly,2022W25,26-Jun-22,15.29892462,
NLD,Netherlands,TRACKER_YOY,"Weekly tracker, year-on-year (YoY)",W,Weekly,2022W25,26-Jun-22,3.731742005,,,,,,,,
NLD,Netherlands,TRACKER_YO2Y,"Weekly tracker, year over 2 years (yo2y)",W,Weekly,2022W25,26-Jun-22,7.755791838,,,,,,,,
NLD,Netherlands,LOW_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,Low,W,Weekly,2022W25,26-Jun-22,2.865176389,
NLD,Netherlands,HIGH_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,High,W,Weekly,2022W25,26-Jun-22,5.445980435,
NLD,Netherlands,LOW_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,Low,W,Weekly,2022W25,26-Jun-22,5.710444368,
NLD,Netherlands,HIGH_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,High,W,Weekly,2022W25,26-Jun-22,9.826595401,
NZL,New,Zealand,TRACKER_YOY,"Weekly tracker, year-on-year (YoY)",W,Weekly,2022W25,26-Jun-22,1.604536997,,,,,,,
NZL,New,Zealand,TRACKER_YO2Y,"Weekly tracker, year over 2 years (yo2y)",W,Weekly,2022W25,26-Jun-22,5.507030697,,,,,,,
NZL,New,Zealand,LOW_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,Low,W,Weekly,2022W25,26-Jun-22,-0.077784654
NZL,New,Zealand,HIGH_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,High,W,Weekly,2022W25,26-Jun-22,4.343795011
NZL,New,Zealand,LOW_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,Low,W,Weekly,2022W25,26-Jun-22,4.38158333
NZL,New,Zealand,HIGH_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,High,W,Weekly,2022W25,26-Jun-22,6.564723377
NOR,Norway,TRACKER_YOY,"Weekly tracker, year-on-year (YoY)",W,Weekly,2022W25,26-Jun-22,3.968261515,,,,,,,,
NOR,Norway,TRACKER_YO2Y,"Weekly tracker, year over 2 years (yo2y)",W,Weekly,2022W25,26-Jun-22,9.364446641,,,,,,,,
NOR,Norway,LOW_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,Low,W,Weekly,2022W25,26-Jun-22,2.711459212,
NOR,Norway,HIGH_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,High,W,Weekly,2022W25,26-Jun-22,5.021265709,
NOR,Norway,LOW_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,Low,W,Weekly,2022W25,26-Jun-22,8.189835122,
NOR,Norway,HIGH_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,High,W,Weekly,2022W25,26-Jun-22,10.94523487,
POL,Poland,TRACKER_YOY,"Weekly tracker, year-on-year (YoY)",W,Weekly,2022W25,26-Jun-22,4.573184579,,,,,,,,
POL,Poland,TRACKER_YO2Y,"Weekly tracker, year over 2 years (yo2y)",W,Weekly,2022W25,26-Jun-22,11.37298478,,,,,,,,
POL,Poland,LOW_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,Low,W,Weekly,2022W25,26-Jun-22,3.87677733,
POL,Poland,HIGH_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,High,W,Weekly,2022W25,26-Jun-22,5.36590507,
POL,Poland,LOW_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,Low,W,Weekly,2022W25,26-Jun-22,9.134263068,
POL,Poland,HIGH_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,High,W,Weekly,2022W25,26-Jun-22,14.01769977,
PRT,Portugal,TRACKER_YOY,"Weekly tracker, year-on-year (YoY)",W,Weekly,2022W25,26-Jun-22,6.628755762,,,,,,,,
PRT,Portugal,TRACKER_YO2Y,"Weekly tracker, year over 2 years (yo2y)",W,Weekly,2022W25,26-Jun-22,13.08867296,,,,,,,,
PRT,Portugal,LOW_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,Low,W,Weekly,2022W25,26-Jun-22,4.079418636,
PRT,Portugal,HIGH_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,High,W,Weekly,2022W25,26-Jun-22,8.724369185,
PRT,Portugal,LOW_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,Low,W,Weekly,2022W25,26-Jun-22,9.615643568,
PRT,Portugal,HIGH_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,High,W,Weekly,2022W25,26-Jun-22,17.18714007,
SVK,Slovak,Republic,TRACKER_YOY,"Weekly tracker, year-on-year (YoY)",W,Weekly,2022W25,26-Jun-22,4.225653138,,,,,,,
SVK,Slovak,Republic,TRACKER_YO2Y,"Weekly tracker, year over 2 years (yo2y)",W,Weekly,2022W25,26-Jun-22,10.19167778,,,,,,,
SVK,Slovak,Republic,LOW_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,Low,W,Weekly,2022W25,26-Jun-22,1.362087738
SVK,Slovak,Republic,HIGH_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,High,W,Weekly,2022W25,26-Jun-22,6.762826354
SVK,Slovak,Republic,LOW_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,Low,W,Weekly,2022W25,26-Jun-22,6.987366928
SVK,Slovak,Republic,HIGH_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,High,W,Weekly,2022W25,26-Jun-22,12.03153431
ESP,Spain,TRACKER_YOY,"Weekly tracker, year-on-year (YoY)",W,Weekly,2022W25,26-Jun-22,4.66862884,,,,,,,,
ESP,Spain,TRACKER_YO2Y,"Weekly tracker, year over 2 years (yo2y)",W,Weekly,2022W25,26-Jun-22,9.829342026,,,,,,,,
ESP,Spain,LOW_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,Low,W,Weekly,2022W25,26-Jun-22,2.487013645,
ESP,Spain,HIGH_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,High,W,Weekly,2022W25,26-Jun-22,6.048374872,
ESP,Spain,LOW_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,Low,W,Weekly,2022W25,26-Jun-22,8.477297541,
ESP,Spain,HIGH_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,High,W,Weekly,2022W25,26-Jun-22,11.75521728,
SWE,Sweden,TRACKER_YOY,"Weekly tracker, year-on-year (YoY)",W,Weekly,2022W25,26-Jun-22,3.079683506,,,,,,,,
SWE,Sweden,TRACKER_YO2Y,"Weekly tracker, year over 2 years (yo2y)",W,Weekly,2022W25,26-Jun-22,7.619168355,,,,,,,,
SWE,Sweden,LOW_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,Low,W,Weekly,2022W25,26-Jun-22,2.267375548,
SWE,Sweden,HIGH_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,High,W,Weekly,2022W25,26-Jun-22,3.923734308,
SWE,Sweden,LOW_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,Low,W,Weekly,2022W25,26-Jun-22,5.978096182,
SWE,Sweden,HIGH_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,High,W,Weekly,2022W25,26-Jun-22,9.869919982,
CHE,Switzerland,TRACKER_YOY,"Weekly tracker, year-on-year (YoY)",W,Weekly,2022W25,26-Jun-22,2.420129818,,,,,,,,
CHE,Switzerland,TRACKER_YO2Y,"Weekly tracker, year over 2 years (yo2y)",W,Weekly,2022W25,26-Jun-22,8.176324302,,,,,,,,
CHE,Switzerland,LOW_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,Low,W,Weekly,2022W25,26-Jun-22,1.308526701,
CHE,Switzerland,HIGH_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,High,W,Weekly,2022W25,26-Jun-22,3.270231183,
CHE,Switzerland,LOW_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,Low,W,Weekly,2022W25,26-Jun-22,6.570870361,
CHE,Switzerland,HIGH_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,High,W,Weekly,2022W25,26-Jun-22,10.44766441,
TUR,Türkiye,TRACKER_YOY,"Weekly tracker, year-on-year (YoY)",W,Weekly,2022W25,26-Jun-22,4.989778726,,,,,,,,
TUR,Türkiye,TRACKER_YO2Y,"Weekly tracker, year over 2 years (yo2y)",W,Weekly,2022W25,26-Jun-22,17.87929946,,,,,,,,
TUR,Türkiye,LOW_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,Low,W,Weekly,2022W25,26-Jun-22,3.213606252,
TUR,Türkiye,HIGH_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,High,W,Weekly,2022W25,26-Jun-22,5.744179003,
TUR,Türkiye,LOW_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,Low,W,Weekly,2022W25,26-Jun-22,14.2183146,
TUR,Türkiye,HIGH_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,High,W,Weekly,2022W25,26-Jun-22,21.57632606,
GBR,United,Kingdom,TRACKER_YOY,"Weekly tracker, year-on-year (YoY)",W,Weekly,2022W25,26-Jun-22,2.973692349,,,,,,,
GBR,United,Kingdom,TRACKER_YO2Y,"Weekly tracker, year over 2 years (yo2y)",W,Weekly,2022W25,26-Jun-22,14.16493713,,,,,,,
GBR,United,Kingdom,LOW_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,Low,W,Weekly,2022W25,26-Jun-22,1.802132404
GBR,United,Kingdom,HIGH_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,High,W,Weekly,2022W25,26-Jun-22,3.815454548
GBR,United,Kingdom,LOW_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,Low,W,Weekly,2022W25,26-Jun-22,10.72104321
GBR,United,Kingdom,HIGH_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,High,W,Weekly,2022W25,26-Jun-22,17.50449879
USA,United,States,TRACKER_YOY,"Weekly tracker, year-on-year (YoY)",W,Weekly,2022W25,26-Jun-22,1.158817398,,,,,,,
USA,United,States,TRACKER_YO2Y,"Weekly tracker, year over 2 years (yo2y)",W,Weekly,2022W25,26-Jun-22,9.158530261,,,,,,,
USA,United,States,LOW_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,Low,W,Weekly,2022W25,26-Jun-22,0.484361746
USA,United,States,HIGH_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,High,W,Weekly,2022W25,26-Jun-22,1.901818376
USA,United,States,LOW_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,Low,W,Weekly,2022W25,26-Jun-22,7.849696571
USA,United,States,HIGH_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,High,W,Weekly,2022W25,26-Jun-22,11.61083043
ARG,Argentina,TRACKER_YOY,"Weekly tracker, year-on-year (YoY)",W,Weekly,2022W25,26-Jun-22,7.7300888,,,,,,,,
ARG,Argentina,TRACKER_YO2Y,"Weekly tracker, year over 2 years (yo2y)",W,Weekly,2022W25,26-Jun-22,23.43421107,,,,,,,,
ARG,Argentina,LOW_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,Low,W,Weekly,2022W25,26-Jun-22,6.098493077,
ARG,Argentina,HIGH_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,High,W,Weekly,2022W25,26-Jun-22,9.72796786,
ARG,Argentina,LOW_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,Low,W,Weekly,2022W25,26-Jun-22,20.29531698,
ARG,Argentina,HIGH_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,High,W,Weekly,2022W25,26-Jun-22,25.61563636,
BRA,Brazil,TRACKER_YOY,"Weekly tracker, year-on-year (YoY)",W,Weekly,2022W25,26-Jun-22,5.038405976,,,,,,,,
BRA,Brazil,TRACKER_YO2Y,"Weekly tracker, year over 2 years (yo2y)",W,Weekly,2022W25,26-Jun-22,12.64964615,,,,,,,,
BRA,Brazil,LOW_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,Low,W,Weekly,2022W25,26-Jun-22,3.894675434,
BRA,Brazil,HIGH_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,High,W,Weekly,2022W25,26-Jun-22,7.712115361,
BRA,Brazil,LOW_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,Low,W,Weekly,2022W25,26-Jun-22,10.12816348,
BRA,Brazil,HIGH_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,High,W,Weekly,2022W25,26-Jun-22,15.01165024,
BGR,Bulgaria,TRACKER_YOY,"Weekly tracker, year-on-year (YoY)",W,Weekly,2022W25,26-Jun-22,4.126746239,,,,,,,,
BGR,Bulgaria,TRACKER_YO2Y,"Weekly tracker, year over 2 years (yo2y)",W,Weekly,2022W25,26-Jun-22,10.38311199,,,,,,,,
BGR,Bulgaria,LOW_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,Low,W,Weekly,2022W25,26-Jun-22,2.675360005,
BGR,Bulgaria,HIGH_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,High,W,Weekly,2022W25,26-Jun-22,6.216928105,
BGR,Bulgaria,LOW_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,Low,W,Weekly,2022W25,26-Jun-22,7.69373054,
BGR,Bulgaria,HIGH_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,High,W,Weekly,2022W25,26-Jun-22,12.75016998,
CHL,Chile,TRACKER_YOY,"Weekly tracker, year-on-year (YoY)",W,Weekly,2022W25,26-Jun-22,3.321032202,,,,,,,,
CHL,Chile,TRACKER_YO2Y,"Weekly tracker, year over 2 years (yo2y)",W,Weekly,2022W25,26-Jun-22,20.89233101,,,,,,,,
CHL,Chile,LOW_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,Low,W,Weekly,2022W25,26-Jun-22,1.623206043,
CHL,Chile,HIGH_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,High,W,Weekly,2022W25,26-Jun-22,4.660610199,
CHL,Chile,LOW_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,Low,W,Weekly,2022W25,26-Jun-22,16.77917279,
CHL,Chile,HIGH_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,High,W,Weekly,2022W25,26-Jun-22,22.83107524,
COL,Colombia,TRACKER_YOY,"Weekly tracker, year-on-year (YoY)",W,Weekly,2022W25,26-Jun-22,5.176401796,,,,,,,,
COL,Colombia,TRACKER_YO2Y,"Weekly tracker, year over 2 years (yo2y)",W,Weekly,2022W25,26-Jun-22,19.29083732,,,,,,,,
COL,Colombia,LOW_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,Low,W,Weekly,2022W25,26-Jun-22,3.704358945,
COL,Colombia,HIGH_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,High,W,Weekly,2022W25,26-Jun-22,6.407264155,
COL,Colombia,LOW_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,Low,W,Weekly,2022W25,26-Jun-22,17.79055265,
COL,Colombia,HIGH_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,High,W,Weekly,2022W25,26-Jun-22,20.4517942,
EST,Estonia,TRACKER_YOY,"Weekly tracker, year-on-year (YoY)",W,Weekly,2022W25,26-Jun-22,3.374501291,,,,,,,,
EST,Estonia,TRACKER_YO2Y,"Weekly tracker, year over 2 years (yo2y)",W,Weekly,2022W25,26-Jun-22,8.914098555,,,,,,,,
EST,Estonia,LOW_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,Low,W,Weekly,2022W25,26-Jun-22,-1.096290384,
EST,Estonia,HIGH_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,High,W,Weekly,2022W25,26-Jun-22,6.954523825,
EST,Estonia,LOW_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,Low,W,Weekly,2022W25,26-Jun-22,5.657816309,
EST,Estonia,HIGH_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,High,W,Weekly,2022W25,26-Jun-22,13.33616789,
IND,India,TRACKER_YOY,"Weekly tracker, year-on-year (YoY)",W,Weekly,2022W25,26-Jun-22,9.89395783,,,,,,,,
IND,India,TRACKER_YO2Y,"Weekly tracker, year over 2 years (yo2y)",W,Weekly,2022W25,26-Jun-22,21.7871369,,,,,,,,
IND,India,LOW_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,Low,W,Weekly,2022W25,26-Jun-22,7.862007959,
IND,India,HIGH_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,High,W,Weekly,2022W25,26-Jun-22,12.23841571,
IND,India,LOW_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,Low,W,Weekly,2022W25,26-Jun-22,16.04798057,
IND,India,HIGH_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,High,W,Weekly,2022W25,26-Jun-22,27.462314,
IDN,Indonesia,TRACKER_YOY,"Weekly tracker, year-on-year (YoY)",W,Weekly,2022W25,26-Jun-22,6.580445521,,,,,,,,
IDN,Indonesia,TRACKER_YO2Y,"Weekly tracker, year over 2 years (yo2y)",W,Weekly,2022W25,26-Jun-22,8.372526406,,,,,,,,
IDN,Indonesia,LOW_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,Low,W,Weekly,2022W25,26-Jun-22,4.260262202,
IDN,Indonesia,HIGH_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,High,W,Weekly,2022W25,26-Jun-22,10.55256056,
IDN,Indonesia,LOW_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,Low,W,Weekly,2022W25,26-Jun-22,5.423417169,
IDN,Indonesia,HIGH_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,High,W,Weekly,2022W25,26-Jun-22,12.69572848,
ISR,Israel,TRACKER_YOY,"Weekly tracker, year-on-year (YoY)",W,Weekly,2022W25,26-Jun-22,5.719892445,,,,,,,,
ISR,Israel,TRACKER_YO2Y,"Weekly tracker, year over 2 years (yo2y)",W,Weekly,2022W25,26-Jun-22,17.16940347,,,,,,,,
ISR,Israel,LOW_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,Low,W,Weekly,2022W25,26-Jun-22,4.062910992,
ISR,Israel,HIGH_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,High,W,Weekly,2022W25,26-Jun-22,7.948249626,
ISR,Israel,LOW_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,Low,W,Weekly,2022W25,26-Jun-22,13.97583759,
ISR,Israel,HIGH_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,High,W,Weekly,2022W25,26-Jun-22,19.95900278,
LVA,Latvia,TRACKER_YOY,"Weekly tracker, year-on-year (YoY)",W,Weekly,2022W25,26-Jun-22,4.144300726,,,,,,,,
LVA,Latvia,TRACKER_YO2Y,"Weekly tracker, year over 2 years (yo2y)",W,Weekly,2022W25,26-Jun-22,7.127342199,,,,,,,,
LVA,Latvia,LOW_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,Low,W,Weekly,2022W25,26-Jun-22,2.503937045,
LVA,Latvia,HIGH_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,High,W,Weekly,2022W25,26-Jun-22,6.619242193,
LVA,Latvia,LOW_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,Low,W,Weekly,2022W25,26-Jun-22,2.483964436,
LVA,Latvia,HIGH_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,High,W,Weekly,2022W25,26-Jun-22,10.41306235,
LTU,Lithuania,TRACKER_YOY,"Weekly tracker, year-on-year (YoY)",W,Weekly,2022W25,26-Jun-22,3.107766385,,,,,,,,
LTU,Lithuania,TRACKER_YO2Y,"Weekly tracker, year over 2 years (yo2y)",W,Weekly,2022W25,26-Jun-22,7.709951054,,,,,,,,
LTU,Lithuania,LOW_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,Low,W,Weekly,2022W25,26-Jun-22,1.757933075,
LTU,Lithuania,HIGH_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,High,W,Weekly,2022W25,26-Jun-22,5.204731595,
LTU,Lithuania,LOW_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,Low,W,Weekly,2022W25,26-Jun-22,5.793687323,
LTU,Lithuania,HIGH_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,High,W,Weekly,2022W25,26-Jun-22,9.932804383,
ROU,Romania,TRACKER_YOY,"Weekly tracker, year-on-year (YoY)",W,Weekly,2022W25,26-Jun-22,3.462216702,,,,,,,,
ROU,Romania,TRACKER_YO2Y,"Weekly tracker, year over 2 years (yo2y)",W,Weekly,2022W25,26-Jun-22,10.79097782,,,,,,,,
ROU,Romania,LOW_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,Low,W,Weekly,2022W25,26-Jun-22,2.024813499,
ROU,Romania,HIGH_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,High,W,Weekly,2022W25,26-Jun-22,4.630473963,
ROU,Romania,LOW_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,Low,W,Weekly,2022W25,26-Jun-22,7.351935629,
ROU,Romania,HIGH_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,High,W,Weekly,2022W25,26-Jun-22,14.00768106,
SVN,Slovenia,TRACKER_YOY,"Weekly tracker, year-on-year (YoY)",W,Weekly,2022W25,26-Jun-22,2.590397272,,,,,,,,
SVN,Slovenia,TRACKER_YO2Y,"Weekly tracker, year over 2 years (yo2y)",W,Weekly,2022W25,26-Jun-22,8.93236606,,,,,,,,
SVN,Slovenia,LOW_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,Low,W,Weekly,2022W25,26-Jun-22,0.388297095,
SVN,Slovenia,HIGH_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,High,W,Weekly,2022W25,26-Jun-22,5.847602943,
SVN,Slovenia,LOW_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,Low,W,Weekly,2022W25,26-Jun-22,4.383701762,
SVN,Slovenia,HIGH_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,High,W,Weekly,2022W25,26-Jun-22,14.96992632,
ZAF,South,Africa,TRACKER_YOY,"Weekly tracker, year-on-year (YoY)",W,Weekly,2022W25,26-Jun-22,4.180865904,,,,,,,
ZAF,South,Africa,TRACKER_YO2Y,"Weekly tracker, year over 2 years (yo2y)",W,Weekly,2022W25,26-Jun-22,10.78264514,,,,,,,
ZAF,South,Africa,LOW_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,Low,W,Weekly,2022W25,26-Jun-22,1.903985653
ZAF,South,Africa,HIGH_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,High,W,Weekly,2022W25,26-Jun-22,7.48933655
ZAF,South,Africa,LOW_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,Low,W,Weekly,2022W25,26-Jun-22,8.145142522
ZAF,South,Africa,HIGH_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,High,W,Weekly,2022W25,26-Jun-22,13.87333064
AUS,Australia,TRACKER_YOY,"Weekly tracker, year-on-year (YoY)",W,Weekly,2022W26,3-Jul-22,3.656735614,,,,,,,,
AUS,Australia,TRACKER_YO2Y,"Weekly tracker, year over 2 years (yo2y)",W,Weekly,2022W26,3-Jul-22,10.09781581,,,,,,,,
AUS,Australia,LOW_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,Low,W,Weekly,2022W26,3-Jul-22,2.608261659,
AUS,Australia,HIGH_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,High,W,Weekly,2022W26,3-Jul-22,4.523137343,
AUS,Australia,LOW_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,Low,W,Weekly,2022W26,3-Jul-22,8.207003739,
AUS,Australia,HIGH_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,High,W,Weekly,2022W26,3-Jul-22,12.37760409,
AUS,Australia,TRACKER_YOY,"Weekly tracker, year-on-year (YoY)",W,Weekly,2022W27,10-Jul-22,3.822025695,,,,,,,,
AUS,Australia,TRACKER_YO2Y,"Weekly tracker, year over 2 years (yo2y)",W,Weekly,2022W27,10-Jul-22,9.880120904,,,,,,,,
